name,year,age,team,pos,uniform_number,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,av,awards
Anders Carlson,2023,25,GNB,K,17,17,0,,,6,6,14,14,8,4,5,3,33,27,53,81.8%,39,34,87.2%,86,5466,37,43.0%,63.6,1
Daniel Carlson,2019,24,OAK,K,8,16,0,,,8,8,6,5,10,6,2,,26,19,48,73.1%,36,34,94.4%,71,4496,38,53.5%,63.3,2,
Daniel Carlson,2020,25,LVR,K,2,16,0,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,4,
Daniel Carlson,2021,26,LVR,K,2,17,0,,,11,10,12,12,13,12,7,6,43,40,56,93.0%,33,30,90.9%,87,5560,53,60.9%,63.9,5,AP2
Daniel Carlson,2022,27,LVR,K,2,17,0,,,9,9,11,11,4,3,13,11,37,34,57,91.9%,36,35,97.2%,90,5548,57,63.3%,61.6,5,AP1
Daniel Carlson,2023,28,LVR,K,2,17,0,,,10,10,7,6,10,9,3,1,30,26,54,86.7%,32,32,100.0%,78,4977,48,61.5%,63.8,3,
Daniel Carlson,2024,29,LVR,K,2,2,0,,,1,1,2,2,1,,2,2,6,5,53,83.3%,3,3,100.0%,10,651,7,70.0%,65.1,,
Mason Crosby,2019,35,GNB,K,2,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,91.7%,41,40,97.6%,79,5031,49,62.0%,63.7,5
Mason Crosby,2020,36,GNB,K,2,16,0,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,82,5236,48,58.5%,63.9,5
Mason Crosby,2021,37,GNB,K,2,17,0,,,9,9,13,9,8,4,4,3,34,25,54,73.5%,51,49,96.1%,94,6030,43,45.7%,64.1,1
Mason Crosby,2022,38,GNB,K,2,17,0,,,10,10,8,8,7,6,4,1,29,25,56,86.2%,39,37,94.9%,74,4494,15,20.3%,60.7,3
Mason Crosby,2023,39,NYG,K,21,3,0,,,2,2,2,2,1,,2,1,7,5,52,71.4%,7,6,85.7%,16,972,2,12.5%,60.8,0
Cameron Dicker,2022,22,2TM,K,,11,0,,,7,7,7,7,7,7,1,,22,21,48,95.5%,24,24,100.0%,55,3519,46,83.6%,64.0,3
Cameron Dicker,2023,23,LAC,K,11,17,0,,,7,7,8,8,9,9,9,7,33,31,55,93.9%,35,35,100.0%,81,5168,68,84.0%,63.8,5
Cameron Dicker,2024,24,LAC,K,11,2,0,,,2,2,,,2,2,1,1,5,5,53,100.0%,4,3,75.0%,12,735,7,58.3%,61.3,
Jake Elliott,2019,24,PHI,K,4,16,0,,,7,7,8,8,7,5,4,2,26,22,53,84.6%,37,35,94.6%,81,5058,52,64.2%,62.4,3,
Jake Elliott,2020,25,PHI,K,4,16,0,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,73,4508,46,63.0%,61.8,2,
Jake Elliott,2021,26,PHI,K,4,17,0,,,7,7,10,10,13,10,3,3,33,30,58,90.9%,44,44,100.0%,96,6071,61,63.5%,63.2,5,PB
Jake Elliott,2022,27,PHI,K,4,16,0,,,6,6,9,8,2,1,6,5,23,20,56,87.0%,53,51,96.2%,91,5893,63,69.2%,64.8,3,
Jake Elliott,2023,28,PHI,K,4,17,0,,,9,9,8,7,7,7,8,7,32,30,61,93.8%,46,45,97.8%,91,5846,73,80.2%,64.2,5,AP2
Jake Elliott,2024,29,PHI,K,4,2,0,,,3,3,1,1,,,,,4,4,38,100.0%,5,5,100.0%,,,,,,,
Ka'imi Fairbairn,2019,25,HOU,K,7,16,0,,,5,5,8,8,6,4,6,3,25,20,54,80.0%,45,40,88.9%,81,5091,42,51.9%,62.9,3
Ka'imi Fairbairn,2020,26,HOU,K,7,16,0,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,85,5343,52,61.2%,62.9,3
Ka'imi Fairbairn,2021,27,HOU,K,7,13,0,,,4,4,5,5,4,2,6,4,19,15,61,78.9%,16,13,81.3%,44,2656,16,36.4%,60.4,1
