name,year,age,team,pos,uniform_number,g,gs,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
Patrick Laird,2021,26,MIA,RB,32,6,0,1,4,0,0,100.0,4,4.0,0.7,0.2,3,3,17,5.7,0,2,66.7,10,0.5,2.8,100.0%,5.7,4,5.3,21,0,0,0
MarShawn Lloyd,2024,23,GNB,RB,32,1,0,6,15,0,,16.7,5,2.5,15.0,6.0,1,1,3,3.0,0,,0.0,3,1.0,3.0,100.0%,3.0,7,2.6,18,0,0,
Marlon Mack,2019,23,IND,RB,25,14,12,247,1091,8,67,51.0,63,4.4,77.9,17.6,17,14,82,5.9,0,2,47.1,14,1.0,5.9,82.4%,4.8,261,4.5,1173,8,0,8
Marlon Mack,2020,24,IND,RB,25,1,1,4,26,0,2,75.0,18,6.5,26.0,4.0,3,3,30,10.0,0,1,66.7,19,3.0,30.0,100.0%,10.0,7,8.0,56,0,0,0
Marlon Mack,2021,25,IND,RB,25,6,0,28,101,0,6,32.1,22,3.6,16.8,4.7,5,2,8,4.0,0,0,20.0,7,0.3,1.3,40.0%,1.6,30,3.6,109,0,0,1
Marlon Mack,2022,26,2TM,RB,,8,0,16,84,1,4,75.0,17,5.3,10.5,2.0,10,8,99,12.4,1,2,40.0,66,1.0,12.4,80.0%,9.9,24,7.6,183,2,0,1
Jordan Mason,2022,23,SFO,RB,24,16,0,43,258,1,10,58.1,55,6.0,16.1,2.7,,,,,0,,,,,,,,43,6.0,258,1,0,2
Jordan Mason,2023,24,SFO,RB,24,17,0,40,206,3,13,55.0,26,5.2,12.1,2.4,4,3,31,10.3,0,1,50.0,13,0.2,1.8,75.0%,7.8,43,5.5,237,3,0,2
Jordan Mason,2024,25,SFO,RB,24,2,2,48,247,2,12,52.1,24,5.1,123.5,24.0,2,2,9,4.5,0,2,100.0,5,1.0,4.5,100.0%,4.5,50,5.1,256,2,1,
Alexander Mattison,2019,21,MIN,RB,25,13,0,100,462,1,19,37.0,35,4.6,35.5,7.7,12,10,82,8.2,0,3,50.0,17,0.8,6.3,83.3%,6.8,110,4.9,544,1,1,4
Alexander Mattison,2020,22,MIN,RB,25,13,2,96,434,2,24,44.8,25,4.5,33.4,7.4,15,13,125,9.6,1,5,66.7,28,1.0,9.6,86.7%,8.3,109,5.1,559,3,0,4
Alexander Mattison,2021,23,MIN,RB,25,16,4,134,491,3,28,44.0,48,3.7,30.7,8.4,39,32,228,7.1,1,10,43.6,24,2.0,14.3,82.1%,5.8,166,4.3,719,4,1,5
Alexander Mattison,2022,24,MIN,RB,2,17,0,74,283,5,21,47.3,15,3.8,16.6,4.4,18,15,91,6.1,1,4,33.3,16,0.9,5.4,83.3%,5.1,89,4.2,374,6,0,2
Alexander Mattison,2023,25,MIN,RB,2,16,13,180,700,0,28,45.0,21,3.9,43.8,11.3,44,30,192,6.4,3,5,34.1,47,1.9,12.0,68.2%,4.4,210,4.2,892,3,3,5
Alexander Mattison,2024,26,LVR,RB,22,2,0,9,20,1,1,44.4,7,2.2,10.0,4.5,6,4,43,10.8,1,2,33.3,31,2.0,21.5,66.7%,7.2,13,4.8,63,2,0,
Christian McCaffrey,2019,23,CAR,RB,22,16,16,287,1387,15,57,46.3,84,4.8,86.7,17.9,142,116,1005,8.7,4,58,59.9,28,7.3,62.8,81.7%,7.1,403,5.9,2392,19,1,15,"AP OPoY-3,AP1,PB"
Christian McCaffrey,2020,24,CAR,RB,22,3,3,59,225,5,14,57.6,15,3.8,75.0,19.7,19,17,149,8.8,1,8,52.6,24,5.7,49.7,89.5%,7.8,76,4.9,374,6,0,3,
Christian McCaffrey,2021,25,CAR,RB,22,7,7,99,442,1,20,50.5,18,4.5,63.1,14.1,41,37,343,9.3,1,21,65.9,32,5.3,49.0,90.2%,8.4,136,5.8,785,2,1,5,
Christian McCaffrey,2022,26,2TM,RB,,17,16,244,1139,8,59,48.4,49,4.7,67.0,14.4,108,85,741,8.7,5,36,52.8,49,5.0,43.6,78.7%,6.9,329,5.7,1880,13,1,15,"AP OPoY-7,AP CPoY-2,PB"
Christian McCaffrey,2023,27,SFO,RB,23,16,16,272,1459,14,83,54.0,72,5.4,91.2,17.0,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7%,6.8,339,6.0,2023,21,3,18,"AP OPoY-1,AP MVP-3,AP1,PB"
Anthony McFarland Jr.,2020,22,PIT,RB,26,11,0,33,113,0,4,36.4,20,3.4,10.3,3.0,9,6,54,9.0,0,1,55.6,17,0.5,4.9,66.7%,6.0,39,4.3,167,0,0,1
Anthony McFarland Jr.,2021,23,PIT,RB,26,2,0,3,3,0,0,0.0,3,1.0,1.5,1.5,1,1,11,11.0,0,1,100.0,11,0.5,5.5,100.0%,11.0,4,3.5,14,0,0,0
Anthony McFarland Jr.,2022,24,PIT,RB,26,1,0,6,30,0,3,66.7,14,5.0,30.0,6.0,2,2,11,5.5,0,1,50.0,12,2.0,11.0,100.0%,5.5,8,5.1,41,0,0,0
Anthony McFarland Jr.,2023,25,PIT,RB,26,3,0,,,0,,,,,,,2,2,11,5.5,0,1,100.0,6,0.7,3.7,100.0%,5.5,2,5.5,11,0,0,0
Jerick McKinnon,2020,28,SFO,RB,28,16,4,81,319,5,16,40.7,55,3.9,19.9,5.1,46,33,253,7.7,1,12,45.7,26,2.1,15.8,71.7%,5.5,114,5.0,572,6,0,4,
Jerick McKinnon,2021,29,KAN,RB,1,13,0,12,62,0,2,58.3,18,5.2,4.8,0.9,20,13,107,8.2,1,6,45.0,14,1.0,8.2,65.0%,5.4,25,6.8,169,1,0,1,
Jerick McKinnon,2022,30,KAN,RB,1,17,0,72,291,1,12,45.8,30,4.0,17.1,4.2,71,56,512,9.1,9,28,54.9,56,3.3,30.1,78.9%,7.2,128,6.3,803,10,1,7,AP CPoY-12
Jerick McKinnon,2023,31,KAN,RB,1,12,0,21,60,1,7,47.6,10,2.9,5.0,1.8,32,25,192,7.7,4,10,43.8,27,2.1,16.0,78.1%,6.0,46,5.5,252,5,0,2,
Jaleel McLaughlin,2023,23,DEN,RB,38,17,3,76,410,1,16,53.9,38,5.4,24.1,4.5,36,31,160,5.2,2,5,38.9,22,1.8,9.4,86.1%,4.4,107,5.3,570,3,0,4
Jaleel McLaughlin,2024,24,DEN,RB,38,2,0,13,33,0,3,30.8,15,2.5,16.5,6.5,5,5,1,0.2,0,0,0.0,3,2.5,0.5,100.0%,0.2,18,1.9,34,0,1,
Jeremy McNichols,2019,24,JAX,RB,34,1,0,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,0
Jeremy McNichols,2020,25,TEN,RB,28,16,0,47,204,1,8,38.3,20,4.3,12.8,2.9,17,12,55,4.6,0,0,29.4,9,0.8,3.4,70.6%,3.2,59,4.4,259,1,0,2
Jeremy McNichols,2021,26,TEN,RB,28,14,0,41,156,0,6,41.5,14,3.8,11.1,2.9,38,28,240,8.6,1,11,39.5,27,2.0,17.1,73.7%,6.3,69,5.7,396,1,0,3
Jeremy McNichols,2023,28,SFO,RB,22,3,0,,,0,,,,,,,,,,,0,,,,,,,,,,,0,0,0
Jeremy McNichols,2024,29,WAS,RB,26,2,0,,,0,,,,,,,,,,,0,,,,,,,,,,,0,0,
Kendre Miller,2023,21,NOR,RB,25,8,0,41,156,1,10,39.0,18,3.8,19.5,5.1,11,10,117,11.7,0,5,54.5,33,1.3,14.6,90.9%,10.6,51,5.4,273,1,0,2
Jordan Mims,2023,24,NOR,RB,37,2,0,,,0,,,,,,,2,0,0,,0,,0.0,0,0.0,0.0,0.0%,0.0,,,,0,0,0
Jordan Mims,2024,25,NOR,RB,33,2,0,4,11,0,,25.0,5,2.8,5.5,2.0,,,,,0,,,,,,,,4,2.8,11,0,0,
Elijah Mitchell,2021,23,SFO,RB,25,11,10,207,963,5,47,49.8,39,4.7,87.5,18.8,20,19,137,7.2,1,6,50.0,14,1.7,12.5,95.0%,6.9,226,4.9,1100,6,0,7
Elijah Mitchell,2022,24,SFO,RB,25,5,1,45,279,2,15,71.1,37,6.2,55.8,9.0,4,3,7,2.3,0,0,50.0,5,0.6,1.4,75.0%,1.8,48,6.0,286,2,0,2
